load,metric,strategy,mean,sd,ci_low,ci_high
0.1,throughput_mbps,hard,23.503922465333336,0.38133351185764247,23.361530191854175,23.646314738812496
0.1,throughput_mbps,soft,23.505415333333335,0.3808090265767069,23.363218905876714,23.647611760789957
0.1,throughput_mbps,umro,23.505415333333335,0.3808090265767069,23.363218905876714,23.647611760789957
0.1,utilisation,hard,0.1775078240576463,0.0028822279754530293,0.17643158244407628,0.17858406567121635
0.1,utilisation,soft,0.17751907420468488,0.0028782019702349683,0.1764443359261699,0.17859381248319986
0.1,utilisation,umro,0.17751907420468488,0.0028782019702349683,0.1764443359261699,0.17859381248319986
0.1,urllc_violation,hard,0.0,0.0,0.0,0.0
0.1,urllc_violation,soft,0.0,0.0,0.0,0.0
0.1,urllc_violation,umro,0.0,0.0,0.0,0.0
0.2,throughput_mbps,hard,46.81275107766666,0.5455970317098809,46.609021797829186,47.016480357504136
0.2,throughput_mbps,soft,47.123634608666656,0.5673053170960678,46.91179932184748,47.33546989548583
0.2,throughput_mbps,umro,47.123634608666656,0.5673053170960678,46.91179932184748,47.33546989548583
0.2,utilisation,hard,0.35353485497967385,0.004116554263278327,0.351997708355468,0.3550720016038797
0.2,utilisation,soft,0.3558841951400699,0.0042807841443463605,0.35428572407043424,0.3574826662097056
0.2,utilisation,umro,0.3558841951400699,0.0042807841443463605,0.35428572407043424,0.3574826662097056
0.2,urllc_violation,hard,0.0,0.0,0.0,0.0
0.2,urllc_violation,soft,0.0,0.0,0.0,0.0
0.2,urllc_violation,umro,0.0,0.0,0.0,0.0
0.3,throughput_mbps,hard,66.91088638816667,0.5148083244782349,66.71865380055235,67.103118975781
0.3,throughput_mbps,soft,70.30606699473255,0.6468265685413731,70.06453798462101,70.54759600484408
0.3,throughput_mbps,umro,70.30606699473255,0.6468265685413731,70.06453798462101,70.54759600484408
0.3,utilisation,hard,0.5053083657787198,0.0038748148086094757,0.503861486150384,0.5067552454070557
0.3,utilisation,soft,0.5309596203279404,0.004870926442623453,0.5291407865025676,0.5327784541533133
0.3,utilisation,umro,0.5309596203279404,0.004870926442623453,0.5291407865025676,0.5327784541533133
0.3,urllc_violation,hard,0.0002666666666666667,0.00044977644510880375,9.871738189379663e-05,0.0004346159514395367
0.3,urllc_violation,soft,6.666666666666667e-05,0.00025370813170246247,-2.8069506656465106e-05,0.00016140283998979845
0.3,urllc_violation,umro,6.666666666666667e-05,0.00025370813170246247,-2.8069506656465106e-05,0.00016140283998979845
0.4,throughput_mbps,hard,80.74089822166664,0.40635214461177865,80.58916383718379,80.89263260614949
0.4,throughput_mbps,soft,91.40811127910385,0.6471869909835838,91.16644768504057,91.64977487316713
0.4,throughput_mbps,umro,91.40811127910385,0.6471869909835838,91.16644768504057,91.64977487316713
0.4,utilisation,hard,0.6097826539788838,0.003033392670185858,0.6086499665406393,0.6109153414171282
0.4,utilisation,soft,0.6903624663909153,0.00487695219519144,0.6885413825125549,0.6921835502692756
0.4,utilisation,umro,0.6903624663909153,0.00487695219519144,0.6885413825125549,0.6921835502692756
0.4,urllc_violation,hard,0.0047,0.0028785772347727136,0.0036251215954037066,0.005774878404596294
0.4,urllc_violation,soft,0.007533333333333335,0.002775922752245959,0.006496786742478259,0.00856987992418841
0.4,urllc_violation,umro,0.007533333333333335,0.002775922752245959,0.006496786742478259,0.00856987992418841
0.5,throughput_mbps,hard,88.91771606199998,0.28974124401831225,88.80952490341161,89.02590722058835
0.5,throughput_mbps,soft,106.812863087167,0.4323556949779484,106.65141881739993,106.97430735693408
0.5,throughput_mbps,umro,106.81286121561222,0.4323531050969512,106.6514179129226,106.97430451830184
0.5,utilisation,hard,0.6714701575145656,0.0022213522789639065,0.6706406909416989,0.6722996240874324
0.5,utilisation,soft,0.8066076748862608,0.0033113157538502453,0.8053712092630294,0.8078441405094923
0.5,utilisation,umro,0.8066076748862608,0.0033113157538502552,0.8053712092630294,0.8078441405094923
0.5,urllc_violation,hard,0.019533333333333337,0.004569262623174579,0.017827142629380534,0.02123952403728614
0.5,urllc_violation,soft,0.058933333333333324,0.009723534667844898,0.0553025058173799,0.06256416084928675
0.5,urllc_violation,umro,0.058499999999999996,0.009551132808784227,0.054933548396208336,0.06206645160379166
0.6,throughput_mbps,hard,94.45680920816663,0.3359130232604422,94.33137722386422,94.58224119246904
0.6,throughput_mbps,soft,115.58289707248882,0.31417465074371514,115.46558232988728,115.70021181509036
0.6,throughput_mbps,umro,115.58267317823446,0.31394494236050186,115.46544421015288,115.69990214631603
0.6,utilisation,hard,0.7133574131142185,0.0025374456703140895,0.7124099153292329,0.7143049108992041
0.6,utilisation,soft,0.8728971344629723,0.002357581655186865,0.8720167990050173,0.8737774699209274
0.6,utilisation,umro,0.8728971344629723,0.002357581655186861,0.8720167990050173,0.8737774699209274
0.6,urllc_violation,hard,0.06016666666666666,0.009545113692476317,0.05660246263784224,0.06373087069549109
0.6,urllc_violation,soft,0.2038333333333333,0.012337448831835574,0.19922645422758686,0.20844021243907976
0.6,urllc_violation,umro,0.131,0.03428983965328908,0.11819596344501063,0.14380403655498938
0.7,throughput_mbps,hard,98.89146014649997,0.2849626532457135,98.78505334303115,98.99786694996878
0.7,throughput_mbps,soft,120.03454480981735,0.19434477975291867,119.96197527641071,120.10711434322398
0.7,throughput_mbps,umro,120.0336337892671,0.1939952927098819,119.96119475646705,120.10607282206715
0.7,utilisation,hard,0.7467864782205456,0.0021502283197211295,0.7459835697705306,0.7475893866705605
0.7,utilisation,soft,0.9064335940019332,0.0014401152521565557,0.9058958461291391,0.9069713418747274
0.7,utilisation,umro,0.9064335940019332,0.0014401152521565529,0.9058958461291391,0.9069713418747274
0.7,urllc_violation,hard,0.14109999999999998,0.009574931349353244,0.13752466187511395,0.144675338124886
0.7,urllc_violation,soft,0.4086333333333333,0.014737901720612623,0.4031301103879188,0.4141365562787478
0.7,urllc_violation,umro,0.1915333333333333,0.04261838144253732,0.17561936816399235,0.20744729850267427
0.8,throughput_mbps,hard,102.66827568516665,0.20563797282536955,102.59148920416315,102.74506216617014
0.8,throughput_mbps,soft,122.32852639942803,0.11036049764766324,122.2873171123507,122.36973568650535
0.8,throughput_mbps,umro,122.32670955404768,0.11021742990357705,122.28555368934398,122.36786541875138
0.8,utilisation,hard,0.7753461676978112,0.0015314509158030345,0.7747743145277065,0.7759180208679158
0.8,utilisation,soft,0.9238123867032527,0.0008185845099288673,0.9235067222237902,0.9241180511827153
0.8,utilisation,umro,0.9238123867032527,0.0008185845099288654,0.9235067222237902,0.9241180511827153
0.8,urllc_violation,hard,0.25520000000000004,0.01350453308312078,0.25015732447270994,0.26024267552729013
0.8,urllc_violation,soft,0.6056666666666667,0.010557995281672382,0.6017242464366271,0.6096090868967062
0.8,urllc_violation,umro,0.22989999999999994,0.05642165761722942,0.20883180679966207,0.2509681932003378
0.9,throughput_mbps,hard,105.77661769799995,0.17044715075844746,105.71297168591381,105.84026371008609
0.9,throughput_mbps,soft,123.72921449045567,0.07848535748962317,123.6999075763234,123.75852140458795
0.9,throughput_mbps,umro,123.72795028608674,0.07917484929629807,123.6983859114826,123.75751466069087
0.9,utilisation,hard,0.7988327955731694,0.001347835277092864,0.7983295056093639,0.799336085536975
0.9,utilisation,soft,0.9344109971582839,0.0006394894250849166,0.9341722078825653,0.9346497864340025
0.9,utilisation,umro,0.934410997158284,0.0006394894250849312,0.9341722078825654,0.9346497864340026
0.9,urllc_violation,hard,0.3989333333333333,0.014642718169871968,0.3934656525098838,0.4044010141567828
0.9,urllc_violation,soft,0.7531333333333332,0.0127299086686686,0.7483799073160822,0.7578867593505842
0.9,urllc_violation,umro,0.30463333333333337,0.08104680781789783,0.27436995792947594,0.3348967087371908
1.0,throughput_mbps,hard,108.28436135316664,0.24374019110031095,108.19334727003519,108.3753754362981
1.0,throughput_mbps,soft,124.74560442687145,0.07838362690053678,124.71633549956543,124.77487335417747
1.0,throughput_mbps,umro,124.74249119349966,0.08010878750727807,124.71257808063619,124.77240430636313
