demand_scale,strategy,throughput_mbps,ee_mbit_per_j,ee_ci,sla_feasible_fraction,max_blocking
0.25,always_on,526.4027264264319,0.16914946284725949,0.003042648283672986,1.0,0.0
0.25,static_sleep,526.4027264264319,0.18376389857323647,0.0032920408166488375,1.0,0.0
0.25,predictive_sleep,526.4027264264319,0.35872155485267265,0.004402089463996748,1.0,0.0
0.4,always_on,851.6770139834551,0.2661375163096559,0.005912548570687288,1.0,0.0
0.4,static_sleep,851.6770139834551,0.28844608888781426,0.006369206516775863,1.0,0.0
0.4,predictive_sleep,851.6770139834551,0.47632263262379027,0.00631020227951176,1.0,0.0
0.55,always_on,1198.3374643732973,0.36380136487448994,0.008361477191151878,1.0,0.0
0.55,static_sleep,1198.3374643732973,0.3933583340007758,0.008964296183736582,1.0,0.0
0.55,predictive_sleep,1198.3374643732973,0.5645442618341786,0.006645983024273815,1.0,0.0
0.7,always_on,1534.0887586054341,0.45333775715872543,0.007796822925397877,1.0,0.0
0.7,static_sleep,1534.0887586054341,0.48911150758644845,0.008321431636875326,1.0,0.0
0.7,predictive_sleep,1534.0887586054341,0.626465805833864,0.004898957387230403,1.0,0.0
0.85,always_on,1860.4171614689442,0.5358431814654878,0.008674197911683574,1.0,0.0
0.85,static_sleep,1860.4171614689442,0.5769747286112827,0.009220253250836497,1.0,0.0
0.85,predictive_sleep,1860.4171614689442,0.6773034147796684,0.005203483494379889,1.0,0.0
1.0,always_on,2103.652720638464,0.5945567165258214,0.011742581241935309,1.0,0.0
1.0,static_sleep,2103.652720638464,0.639278760712719,0.012447333709382238,1.0,0.0
1.0,predictive_sleep,2103.652720638464,0.717380194782009,0.007985682692747475,1.0,0.0
1.15,always_on,2488.079365764277,0.6831246947250044,0.013862496362631259,1.0,0.0
1.15,static_sleep,2488.079365764277,0.7329369069012146,0.01463239213963692,1.0,0.0
1.15,predictive_sleep,2488.079365764277,0.7901892428065972,0.012092604833089837,1.0,0.0
1.3,always_on,2755.2368747800324,0.7418219919594542,0.014228786320951365,0.0,0.09502262443438912
1.3,static_sleep,2755.2368747800324,0.7947924616864177,0.014978090638751834,0.0,0.09502262443438912
1.3,predictive_sleep,2755.1787556083286,0.8436324195248592,0.013118109659914156,0.0,0.09565750994887733
