metric,arm,seed_index,value
aggregate_throughput_mbps,D_no_slow,2,134.23193134194563
aggregate_throughput_mbps,D_no_slow,3,133.96054199168813
aggregate_throughput_mbps,D_no_slow,4,138.02505446370586
aggregate_throughput_mbps,D_no_slow,5,140.20414191265212
aggregate_throughput_mbps,D_no_slow,6,138.54431541919567
aggregate_throughput_mbps,D_no_slow,7,133.85227825795639
aggregate_throughput_mbps,D_no_slow,8,134.13856702533366
aggregate_throughput_mbps,D_no_slow,9,140.23550903989906
aggregate_throughput_mbps,D_no_slow,10,139.78463396626685
aggregate_throughput_mbps,D_no_slow,11,137.56414503930282
aggregate_throughput_mbps,D_no_slow,12,139.75759395776683
aggregate_throughput_mbps,D_no_slow,13,137.61441796009888
aggregate_throughput_mbps,D_no_slow,14,137.8896308655763
aggregate_throughput_mbps,D_no_slow,15,138.1379557087495
aggregate_throughput_mbps,D_no_slow,16,137.974789768013
aggregate_throughput_mbps,D_no_slow,17,137.84616789550992
aggregate_throughput_mbps,D_no_slow,18,134.61969160473618
aggregate_throughput_mbps,D_no_slow,19,138.0209498661501
aggregate_throughput_mbps,D_no_slow,20,133.89688332196465
aggregate_throughput_mbps,D_no_slow,21,140.24143089279795
aggregate_throughput_mbps,D_no_slow,22,138.05639124610013
aggregate_throughput_mbps,D_no_slow,23,138.1918880890657
aggregate_throughput_mbps,D_no_slow,24,140.0200052788855
aggregate_throughput_mbps,D_no_slow,25,140.11996567797183
aggregate_throughput_mbps,D_no_slow,26,140.2047656155004
aggregate_throughput_mbps,D_no_slow,27,138.1890050588106
aggregate_throughput_mbps,D_no_slow,28,138.27686214810163
aggregate_throughput_mbps,D_no_slow,29,140.07527371710233
aggregate_throughput_mbps,E_full_umro,0,140.57802068069518
aggregate_throughput_mbps,E_full_umro,1,140.45504687085466
aggregate_throughput_mbps,E_full_umro,2,140.53423423731638
aggregate_throughput_mbps,E_full_umro,3,138.37723641017143
aggregate_throughput_mbps,E_full_umro,4,138.49643367138822
aggregate_throughput_mbps,E_full_umro,5,140.61910251125798
aggregate_throughput_mbps,E_full_umro,6,141.0211313357257
aggregate_throughput_mbps,E_full_umro,7,138.10786320019608
aggregate_throughput_mbps,E_full_umro,8,140.58177468182083
aggregate_throughput_mbps,E_full_umro,9,138.42901749600725
aggregate_throughput_mbps,E_full_umro,10,140.12588572843543
aggregate_throughput_mbps,E_full_umro,11,140.4314962828113
aggregate_throughput_mbps,E_full_umro,12,140.16864321522698
aggregate_throughput_mbps,E_full_umro,13,140.47405975899386
aggregate_throughput_mbps,E_full_umro,14,140.4333168271966
