metric,arm,n_seeds,mean,sd,ci_low,ci_high
aggregate_throughput_mbps,A_hard_static,30,138.94213374784732,0.287347219958239,138.83483653253452,139.04943096316012
aggregate_throughput_mbps,B_soft_pool,30,140.55312915706415,0.2251553982588384,140.4690547496301,140.6372035644982
aggregate_throughput_mbps,C_no_medium,30,140.55314535537167,0.22513245038992769,140.46907951681268,140.63721119393065
aggregate_throughput_mbps,D_no_slow,30,137.8540374913356,2.1173524395524006,137.063405096727,138.64466988594418
aggregate_throughput_mbps,E_full_umro,30,140.09868952415857,0.892074965229244,139.7655832576937,140.43179579062345
prb_utilisation,A_hard_static,30,0.5606675576519915,0.003287201535924284,0.5594400964257167,0.5618950188782663
prb_utilisation,B_soft_pool,30,0.5796388941299792,0.005734339387034138,0.5774976566126069,0.5817801316473514
prb_utilisation,C_no_medium,30,0.5870551965408805,0.0061102137192231756,0.584773605241219,0.5893367878405419
prb_utilisation,D_no_slow,30,0.5702882520964362,0.012109101983608006,0.5657666391051273,0.5748098650877451
prb_utilisation,E_full_umro,30,0.5834144051362684,0.007473895711783061,0.5806236066119985,0.5862052036605383
urllc_violation_prob,A_hard_static,30,2.777777777777778e-05,7.152998638854791e-05,1.0680418980706221e-06,5.4487513657484936e-05
urllc_violation_prob,B_soft_pool,30,0.002181111111111111,0.005785545195192879,2.075303073475034e-05,0.004341469191487472
urllc_violation_prob,C_no_medium,30,0.021696666666666666,0.02640146554912743,0.011838197411214921,0.03155513592211841
urllc_violation_prob,D_no_slow,30,3.9999999999999996e-05,0.00010153043444590369,2.0879127101835704e-06,7.791208728981643e-05
urllc_violation_prob,E_full_umro,30,0.0011861111111111109,0.005698195475152845,-0.000941630047758199,0.0033138522699804208
urllc_e2e_violation_prob,A_hard_static,30,0.0,0.0,0.0,0.0
urllc_e2e_violation_prob,B_soft_pool,30,0.0,0.0,0.0,0.0
urllc_e2e_violation_prob,C_no_medium,30,0.0046258333333333325,0.025317852229661743,-0.0048280080587571085,0.014079674725423773
urllc_e2e_violation_prob,D_no_slow,30,0.0,0.0,0.0,0.0
urllc_e2e_violation_prob,E_full_umro,30,0.0,0.0,0.0,0.0
sla_satisfaction_rate,A_hard_static,30,0.2178333333333333,0.013695861723618944,0.2127192145175436,0.22294745214912298
sla_satisfaction_rate,B_soft_pool,30,0.5306666666666667,0.02059274878888179,0.5229772078961803,0.5383561254371532
sla_satisfaction_rate,C_no_medium,30,0.5855555555555555,0.02556388336740875,0.5760098446267967,0.5951012664843143
sla_satisfaction_rate,D_no_slow,30,0.4833888888888888,0.08385866980007833,0.4520755469651684,0.5147022308126092
sla_satisfaction_rate,E_full_umro,30,0.6160555555555555,0.06196724405593338,0.592916606347083,0.639194504764028
carried_load_fraction,A_hard_static,30,0.9884923707179573,0.0020443081375964125,0.9877290135139543,0.9892557279219603
carried_load_fraction,B_soft_pool,30,0.9999536649151697,0.0016018495426933128,0.9993555244657648,1.0005518053645746
carried_load_fraction,C_no_medium,30,0.9999537801566948,0.0016016862819694022,0.9993557006698461,1.0005518596435434
carried_load_fraction,D_no_slow,30,0.9807511994896491,0.015063729598517338,0.975126310415098,0.9863760885642001
carried_load_fraction,E_full_umro,30,0.9967205915632499,0.006346593890935223,0.9943507344568632,0.9990904486696366
urllc_mean_e2e_latency_ms,A_hard_static,30,0.7114666562372203,0.0009011571513150459,0.7111301586267358,0.7118031538477048
urllc_mean_e2e_latency_ms,B_soft_pool,30,0.7300613784594425,0.018336409418443576,0.7232144506564867,0.7369083062623983
urllc_mean_e2e_latency_ms,C_no_medium,30,1.2403889140852544,1.939548005609042,0.5161497862539043,1.9646280419166047
urllc_mean_e2e_latency_ms,D_no_slow,30,0.7118802673483313,0.0013254203049123088,0.7113853472726933,0.7123751874239693
urllc_mean_e2e_latency_ms,E_full_umro,30,0.8273686363074476,0.021826113539057473,0.8192186315703845,0.8355186410445107
jain_across_slices,A_hard_static,30,0.5035290676184788,0.0004483765643422044,0.5033616410577749,0.5036964941791827
jain_across_slices,B_soft_pool,30,0.5012524017774268,0.0004061619696462995,0.5011007384054431,0.5014040651494105
jain_across_slices,C_no_medium,30,0.5012523790503448,0.0004061310640967578,0.5011007272186829,0.5014040308820067
jain_across_slices,D_no_slow,30,0.5051775685417824,0.003133126136376947,0.504007640015222,0.5063474970683428
jain_across_slices,E_full_umro,30,0.5019082638302031,0.0013447617148781457,0.5014061215533903,0.502410406107016
medium_actions_applied,A_hard_static,30,0.0,0.0,0.0,0.0
medium_actions_applied,B_soft_pool,30,0.0,0.0,0.0,0.0
medium_actions_applied,C_no_medium,30,0.0,0.0,0.0,0.0
medium_actions_applied,D_no_slow,30,24.2,7.111913268933163,21.544367941288996,26.855632058711002
medium_actions_applied,E_full_umro,30,2.533333333333333,1.4558640835892125,1.9897047502354137,3.0769619164312525
medium_actions_rejected,A_hard_static,30,0.0,0.0,0.0,0.0
medium_actions_rejected,B_soft_pool,30,0.0,0.0,0.0,0.0
medium_actions_rejected,C_no_medium,30,0.0,0.0,0.0,0.0
medium_actions_rejected,D_no_slow,30,372.6333333333333,9.62211294213825,369.04037731215936,376.2262893545073
medium_actions_rejected,E_full_umro,30,378.8333333333333,9.850899953052892,375.1549468382733,382.5117198283933
slow_updates,A_hard_static,30,0.0,0.0,0.0,0.0
slow_updates,B_soft_pool,30,0.0,0.0,0.0,0.0
slow_updates,C_no_medium,30,30.0,0.0,30.0,30.0
slow_updates,D_no_slow,30,0.0,0.0,0.0,0.0
slow_updates,E_full_umro,30,30.0,0.0,30.0,30.0
throughput_eMBB_mbps,A_hard_static,30,110.14025379714748,0.28485789583941123,110.03388611073704,110.24662148355792
throughput_eMBB_mbps,B_soft_pool,30,111.75124920636429,0.22951471491417633,111.66554700333906,111.83695140938953
throughput_eMBB_mbps,C_no_medium,30,111.75126540467186,0.22949128201582739,111.66557195163466,111.83695885770905
throughput_eMBB_mbps,D_no_slow,30,109.04800139662365,2.117520940541373,108.25730608271171,109.83869671053559
throughput_eMBB_mbps,E_full_umro,30,111.29511580983345,0.9017505514548325,110.95839662009521,111.63183499957168
mean_hol_delay_eMBB_ms,A_hard_static,30,741.6784415277776,49.83207270443395,723.0708397725662,760.2860432829891
mean_hol_delay_eMBB_ms,B_soft_pool,30,5.280220555555557,0.378955994869554,5.138716061509994,5.42172504960112
mean_hol_delay_eMBB_ms,C_no_medium,30,0.1573530555555555,0.03825714941656633,0.14306760118853806,0.17163850992257296
mean_hol_delay_eMBB_ms,D_no_slow,30,40.49969930555555,25.076184471770265,31.136098137318356,49.86330047379275
mean_hol_delay_eMBB_ms,E_full_umro,30,7.35681,13.785926283947825,2.209060524679092,12.504559475320908
sla_satisfaction_eMBB,A_hard_static,30,0.32616666666666666,0.012888781542689458,0.3213539165432919,0.33097941679004145
sla_satisfaction_eMBB,B_soft_pool,30,0.7221666666666666,0.012357618215875943,0.7175522561891449,0.7267810771441884
sla_satisfaction_eMBB,C_no_medium,30,0.8412777777777778,0.012431292653502972,0.8366358568131239,0.8459196987424317
sla_satisfaction_eMBB,D_no_slow,30,0.6527222222222222,0.09818416831021606,0.6160596512426973,0.6893847932017471
sla_satisfaction_eMBB,E_full_umro,30,0.8125555555555555,0.06632055750204355,0.7877910523910739,0.837320058720037
mean_sfc_latency_eMBB_ms,A_hard_static,30,1.0575296108290788,0.0,1.0575296108290788,1.0575296108290788
mean_sfc_latency_eMBB_ms,B_soft_pool,30,1.0575296108290788,0.0,1.0575296108290788,1.0575296108290788
mean_sfc_latency_eMBB_ms,C_no_medium,30,1.3398560199477905,4.516810283266961e-16,1.3398560199477902,1.3398560199477907
mean_sfc_latency_eMBB_ms,D_no_slow,30,1.0575296108290788,0.0,1.0575296108290788,1.0575296108290788
mean_sfc_latency_eMBB_ms,E_full_umro,30,1.3398560199477905,4.516810283266961e-16,1.3398560199477902,1.3398560199477907
throughput_URLLC_mbps,A_hard_static,30,25.22025033855872,0.03312309517328621,25.20788197155259,25.23261870556485
throughput_URLLC_mbps,B_soft_pool,30,25.220250338558746,0.03312309517323641,25.207881971552638,25.232618705564853
throughput_URLLC_mbps,C_no_medium,30,25.220250338558678,0.033123095173290776,25.20788197155255,25.232618705564807
throughput_URLLC_mbps,D_no_slow,30,25.224651367752756,0.03251535138270617,25.212509936007606,25.236792799497906
