metric,arm_a,arm_b,n_seeds,mean_a,mean_b,mean_diff,diff_sd,diff_ci_low,diff_ci_high,relative_diff_pct,t_stat,df,p_raw,cohens_d,d_interpretation,wilcoxon_stat,wilcoxon_p,higher_is_better,bonferroni_threshold,bonferroni_adjusted_p,significant_bonferroni,holm_threshold,holm_adjusted_p,significant_holm,achieved_power,mde_at_n_power80,verdict
sla_satisfaction_rate,E_full_umro,A_hard_static,30,0.6160555555555555,0.2178333333333333,0.3982222222222222,0.056745944094152255,0.3770329384613337,0.4194115059831107,182.81050752359096,38.43716013413251,29,1.9747722067967266e-26,7.017633217300891,very large,0.0,1.7300371292901245e-06,True,0.004166666666666667,2.369726648156072e-25,True,0.004166666666666667,2.369726648156072e-25,True,1.0,0.5292356151129529,significant after Bonferroni correction (p = 1.97e-26 <= 4.17e-03); effect size d = 7.02 (very large)
sla_satisfaction_rate,E_full_umro,B_soft_pool,30,0.6160555555555555,0.5306666666666667,0.08538888888888888,0.06010476698273216,0.06294540004912105,0.1078323777286567,16.09087102177554,7.781316350196205,29,1.3976197869666284e-08,1.4206674973620765,very large,21.0,1.3501516429903639e-05,True,0.004166666666666667,1.677143744359954e-07,True,0.005555555555555556,1.2578578082699655e-07,True,0.999999985468661,0.5292356151129529,significant after Bonferroni correction (p = 1.40e-08 <= 4.17e-03); effect size d = 1.42 (very large)
sla_satisfaction_rate,E_full_umro,C_no_medium,30,0.6160555555555555,0.5855555555555555,0.030500000000000003,0.06200845017189437,0.007345664174955777,0.053654335825044225,5.208728652751424,2.694074429791092,29,0.011613336347658921,0.4918684455981497,small,143.0,0.0655769342473746,True,0.004166666666666667,0.13936003617190706,False,0.016666666666666666,0.03957283035503038,True,0.7402173582993908,0.5292356151129529,significant under Holm-Bonferroni but NOT under Bonferroni; report as borderline
sla_satisfaction_rate,E_full_umro,D_no_slow,30,0.6160555555555555,0.4833888888888888,0.13266666666666668,0.09085966611870784,0.09873910975414915,0.16659422357918421,27.44512125043099,7.997445848790165,29,8.064527541580589e-09,1.4601271646028078,very large,5.0,2.8751270990020176e-06,True,0.004166666666666667,9.677433049896707e-08,True,0.005,8.064527541580589e-08,True,0.9999999956651632,0.5292356151129529,significant after Bonferroni correction (p = 8.06e-09 <= 4.17e-03); effect size d = 1.46 (very large)
aggregate_throughput_mbps,E_full_umro,A_hard_static,30,140.09868952415857,138.94213374784732,1.156555776311286,0.8162562178424444,0.8517606954019605,1.4613508572206113,0.8324010471943719,7.760696627500171,29,1.4733510356673156e-08,1.4169028682787037,very large,18.0,4.7124922275543213e-07,True,0.004166666666666667,1.7680212428007787e-07,True,0.00625,1.2578578082699655e-07,True,0.9999999837267448,0.5292356151129529,significant after Bonferroni correction (p = 1.47e-08 <= 4.17e-03); effect size d = 1.42 (very large)
aggregate_throughput_mbps,E_full_umro,B_soft_pool,30,140.09868952415857,140.55312915706415,-0.4544396329055578,0.9271174307477942,-0.800630971042187,-0.10824829476892861,-0.32332231635891534,-2.684739060142335,29,0.011875008449706704,-0.4901640480850586,small,24.0,1.797930090844565e-05,True,0.004166666666666667,0.14250010139648045,False,0.05,0.03957283035503038,True,0.7372863837569952,0.5292356151129529,significant under Holm-Bonferroni but NOT under Bonferroni; report as borderline
aggregate_throughput_mbps,E_full_umro,C_no_medium,30,140.09868952415857,140.55314535537167,-0.45445583121307226,0.9271179683012349,-0.8006473700754551,-0.10826429235068946,-0.3233338037822174,-2.684833199827311,29,0.011872342464286043,-0.49018123556139787,small,129.0,0.033254921610117484,True,0.004166666666666667,0.14246810957143252,False,0.025,0.03957283035503038,True,0.7373160245730155,0.5292356151129529,significant under Holm-Bonferroni but NOT under Bonferroni; report as borderline
aggregate_throughput_mbps,E_full_umro,D_no_slow,30,140.09868952415857,137.8540374913356,2.2446520328229864,2.1128859653395202,1.4556874470951473,3.0336166185508255,1.6282816765262078,5.818802208425935,29,2.621400213364004e-06,1.0623630757385871,large,12.0,1.30385160446167e-07,True,0.004166666666666667,3.145680256036805e-05,True,0.008333333333333333,1.5728401280184024e-05,True,0.9998727636251997,0.5292356151129529,significant after Bonferroni correction (p = 2.62e-06 <= 4.17e-03); effect size d = 1.06 (large)
prb_utilisation,E_full_umro,A_hard_static,30,0.5834144051362684,0.5606675576519915,0.02274684748427673,0.006288340546881906,0.02039874253404624,0.025094952434507222,4.057100713930693,19.81279701120166,29,2.118121100106796e-18,3.617305283435362,very large,0.0,1.862645149230957e-09,True,0.004166666666666667,2.5417453201281553e-17,True,0.004545454545454546,2.3299332101174755e-17,True,1.0,0.5292356151129529,significant after Bonferroni correction (p = 2.12e-18 <= 4.17e-03); effect size d = 3.62 (very large)
prb_utilisation,E_full_umro,B_soft_pool,30,0.5834144051362684,0.5796388941299792,0.0037755110062893003,0.007089312271465214,0.0011283182987296835,0.006422703713848918,0.6513557051681687,2.9169720066884284,29,0.006757588852119098,0.5325637892247875,medium,164.0,0.1641840822994709,True,0.004166666666666667,0.08109106622542916,False,0.01,0.03378794426059549,True,0.8048904282390337,0.5292356151129529,significant under Holm-Bonferroni but NOT under Bonferroni; report as borderline
