algorithm,episode,mean_score,sd,ci_halfwidth,n_seeds
MADRL-QMIX,440,0.1257550631323257,0.11596713938767955,0.04330284150964152,30
MADRL-QMIX,460,0.10998759400291425,0.12668294779130473,0.04730419012787918,30
MADRL-QMIX,480,0.10136290225793958,0.112399319267584,0.04197059558194882,30
MADRL-QMIX,500,0.11980243172481954,0.11757137368444884,0.04390187244085299,30
MADRL-QMIX,520,0.09785951061725312,0.10421276826560354,0.03891368719892615,30
MADRL-QMIX,540,0.12810620409233447,0.10005073909891157,0.037359559966717165,30
MADRL-QMIX,560,0.11121490284678787,0.10756711730115182,0.040166221713628485,30
MADRL-QMIX,580,0.07546552187497359,0.09333870464761633,0.03485324511247173,30
MADRL-QMIX,600,0.11013978875675542,0.11297416830341694,0.042185247739638325,30
MADRL-QMIX,620,0.10188247928745182,0.10263069350197673,0.03832293077337778,30
MADRL-QMIX,640,0.11951214559852576,0.10817566808970985,0.04039345831260504,30
MADRL-QMIX,660,0.09164548594957501,0.0839298013103339,0.031339902866166704,30
MADRL-QMIX,680,0.15652133731756426,0.12294569347083562,0.045908676429990296,30
MADRL-QMIX,700,0.13425777957869803,0.10795616481801582,0.040311494443916004,30
FedAvg-DQN,1,0.011620989497374595,0.1503727446857973,0.05615010566683569,30
FedAvg-DQN,20,0.24877897818932362,0.1882742729011646,0.07030276889496412,30
FedAvg-DQN,40,0.28858655692826835,0.13680461760801726,0.05108368375167888,30
FedAvg-DQN,60,0.2835293402827679,0.14556548283647616,0.05435504459129608,30
FedAvg-DQN,80,0.320795260184056,0.09493797489902152,0.0354504224386811,30
FedAvg-DQN,100,0.3032236459313305,0.11140733144745925,0.041600181242324945,30
FedAvg-DQN,120,0.2981755118980684,0.10855611387206103,0.0405355191024387,30
FedAvg-DQN,140,0.3151310260852191,0.13614534183102187,0.05083750613073284,30
FedAvg-DQN,160,0.31643396556568154,0.11421152028452419,0.04264728256271356,30
FedAvg-DQN,180,0.3181004731684586,0.09082811601684818,0.033915775910867786,30
FedAvg-DQN,200,0.3075676494723758,0.1326419510387276,0.04952931850942833,30
FedAvg-DQN,220,0.2956558265947418,0.11147236764776652,0.041624466158631114,30
FedAvg-DQN,240,0.2869402999919722,0.10049865453287399,0.037526814338507394,30
FedAvg-DQN,260,0.28974530538045307,0.1216242532615786,0.045415242546494816,30
FedAvg-DQN,280,0.30266334859365274,0.10968008100454961,0.04095521532722435,30
FedAvg-DQN,300,0.25223523533501724,0.10958887696614536,0.04092115917958708,30
FedAvg-DQN,320,0.27907701040143323,0.10181071110198212,0.03801674431318615,30
FedAvg-DQN,340,0.2633339489648938,0.11216109422247454,0.041881640888175475,30
FedAvg-DQN,360,0.31010885171674013,0.07187202865694078,0.026837456561755714,30
FedAvg-DQN,380,0.2644778532544503,0.10973292305181197,0.04097494687195097,30
FedAvg-DQN,400,0.2832336073391172,0.08787320908524525,0.03281239552905821,30
FedAvg-DQN,420,0.256873741981364,0.08960228559058694,0.03345804330707705,30
FedAvg-DQN,440,0.2721078010267783,0.08993736324491397,0.03358316335949327,30
FedAvg-DQN,460,0.24355221995292886,0.1361868447224575,0.05085300356508811,30
FedAvg-DQN,480,0.27480428631850384,0.11312689017651861,0.04224227502427168,30
FedAvg-DQN,500,0.24390116270396814,0.12240554122707048,0.045706980267384734,30
FedAvg-DQN,520,0.25585434829657744,0.10157432286857904,0.037928475496176034,30
FedAvg-DQN,540,0.2690395365297883,0.10623678765106126,0.03966946845837342,30
FedAvg-DQN,560,0.2855409681356686,0.10101449524094155,0.03771943242448947,30
FedAvg-DQN,580,0.2618916146746043,0.08345911205151414,0.031164144608417287,30
FedAvg-DQN,600,0.27357932990673833,0.0950605062576285,0.03549617639993025,30
FedAvg-DQN,620,0.27764394063503783,0.09732287946703608,0.03634096043996016,30
FedAvg-DQN,640,0.26136652771589997,0.10339596561924973,0.038608688078257375,30
FedAvg-DQN,660,0.2903793323371367,0.09740623825247458,0.0363720871219956,30
FedAvg-DQN,680,0.24861799470544588,0.11143555693315056,0.04161072081189506,30
FedAvg-DQN,700,0.29155803334546476,0.10322061896138494,0.03854321256015064,30
GNN-DRL,1,0.010075104979190338,0.23280535643678954,0.08693094876365406,30
GNN-DRL,20,0.1216788833699102,0.26510811686211133,0.09899299774069592,30
GNN-DRL,40,0.23147815106060524,0.09788048956374575,0.03654917547198983,30
GNN-DRL,60,0.1780520835777911,0.12261822671893663,0.04578639833524697,30
GNN-DRL,80,0.1661954827539231,0.1112808316669245,0.04155294544797472,30
GNN-DRL,100,0.21149945369943776,0.09866573556913846,0.03684239114926826,30
GNN-DRL,120,0.22600566986271883,0.11147236309520049,0.04162446445867502,30
GNN-DRL,140,0.20259378446056328,0.12191734890470356,0.045524686258294735,30
GNN-DRL,160,0.19371329766757586,0.10183559895812627,0.03802603759140113,30
GNN-DRL,180,0.19755464934442327,0.10964947428459364,0.040943786590166745,30
GNN-DRL,200,0.19584780961328743,0.1056030774956828,0.039432837197429176,30
GNN-DRL,220,0.22931091476519969,0.09663601744265837,0.03608448194495144,30
GNN-DRL,240,0.19025435852348108,0.1320172656385111,0.0492960571474443,30
GNN-DRL,260,0.21300353737010902,0.10200765520603082,0.03809028445023626,30
GNN-DRL,280,0.23725460003535945,0.1409539838762153,0.05263308257988108,30
GNN-DRL,300,0.20151400730283392,0.11134936397871897,0.041578535833764994,30
GNN-DRL,320,0.21451871100578235,0.1031886315409896,0.03853126826107596,30
GNN-DRL,340,0.2523094473388274,0.10554712106802583,0.039411942723950995,30
GNN-DRL,360,0.2584150274437039,0.1039905281548392,0.03883070137773294,30
GNN-DRL,380,0.2804761725300826,0.0979820705287447,0.03658710642769825,30
GNN-DRL,400,0.27216355080929305,0.1066994447633647,0.039842227463322305,30
GNN-DRL,420,0.27092913036045385,0.09424683882985886,0.035192347989120895,30
GNN-DRL,440,0.2557093671292589,0.09233368776090176,0.03447796563942699,30
GNN-DRL,460,0.26362694758479577,0.09781471083729112,0.036524613291863545,30
GNN-DRL,480,0.2842723027018007,0.09676345571156546,0.03613206817661917,30
GNN-DRL,500,0.30000255086561123,0.1190466703194693,0.04445275725790821,30
GNN-DRL,520,0.27880048482258707,0.09954460175533539,0.037170565176583376,30
GNN-DRL,540,0.27803238390524687,0.12588756149408034,0.0470071880034023,30
GNN-DRL,560,0.2905721523195173,0.10937935729852409,0.04084292324992578,30
GNN-DRL,580,0.26570699950565224,0.10380729094691371,0.038762279479811146,30
GNN-DRL,600,0.3254159683298381,0.09355601101818387,0.03493438864479828,30
GNN-DRL,620,0.274626552105163,0.08159552472817228,0.03046826966549683,30
GNN-DRL,640,0.2741859631659984,0.0803283997469086,0.02999511742145348,30
GNN-DRL,660,0.30323292439116095,0.09434612628742071,0.0352294225350776,30
GNN-DRL,680,0.30275304316573715,0.09225332130787772,0.034447956312678336,30
GNN-DRL,700,0.3037068180276137,0.09039999879182217,0.03375591431179123,30
