metric,algorithm,mean,sd,ci_low,ci_high
throughput_mbps,round_robin,24.470151763199983,1.688704405228707,23.839579175117144,25.10072435128282
throughput_mbps,max_rate,40.12010248799984,2.095433103672332,39.33765490792251,40.90255006807716
throughput_mbps,proportional_fair,31.504039768800006,1.7237613129565124,30.860376716235844,32.14770282136417
throughput_mbps,learned,25.234465394999997,3.559970879103185,23.90515042206274,26.563780367937255
jain,round_robin,0.7954901185177461,0.02326999679499077,0.7868009589121552,0.804179278123337
jain,max_rate,0.5162368588625392,0.02202304334877351,0.5080133193260176,0.5244603983990609
jain,proportional_fair,0.8237272152596717,0.02105391217726298,0.8158655552499157,0.8315888752694278
jain,learned,0.784105727704823,0.092261416110307,0.7496547487432418,0.8185567066664042
p5_mbps,round_robin,0.1398847766400002,0.015792380410055467,0.1339878048808671,0.14578174839913333
p5_mbps,max_rate,0.0,0.0,0.0,0.0
p5_mbps,proportional_fair,0.20872363002000036,0.021905546857377195,0.2005439643944136,0.2169032956455871
p5_mbps,learned,0.1499287939500002,0.04047528381954733,0.1348150745847554,0.165042513315245
cell_edge_mbps,round_robin,0.1333154150400002,0.013952008757554271,0.12810564934982668,0.1385251807301737
cell_edge_mbps,max_rate,0.0,0.0,0.0,0.0
cell_edge_mbps,proportional_fair,0.1993980057600004,0.019947917029321662,0.1919493311257103,0.20684668039429052
cell_edge_mbps,learned,0.1423118751000002,0.03653671303312761,0.1286688422364607,0.15595490796353972
mean_user_mbps,round_robin,0.48940303526399975,0.033774088104574135,0.476791583502343,0.5020144870256564
mean_user_mbps,max_rate,0.802402049759997,0.04190866207344663,0.7867530981584505,0.8180510013615434
mean_user_mbps,proportional_fair,0.6300807953759999,0.03447522625913025,0.6172075343247166,0.6429540564272832
mean_user_mbps,learned,0.5046893078999999,0.07119941758206369,0.47810300844125475,0.531275607358745
starved_users,round_robin,0.0,0.0,0.0,0.0
starved_users,max_rate,10.966666666666667,1.920548293359591,10.2495221479859,11.683811185347434
starved_users,proportional_fair,0.0,0.0,0.0,0.0
starved_users,learned,0.0,0.0,0.0,0.0
