n,learned_ms,learned_ci,waterfilling_ms,waterfilling_ci,bnb_ms,bnb_ci,bnb_timeout_fraction,speedup_vs_wf,speedup_vs_bnb
10,0.004699999772128649,4.769038979965658e-05,0.04448999970918521,0.0014014827910019685,0.04770999985339586,0.015324802582739536,0.0,9.468855454435376,10.138257975077337
50,0.00501000031363219,4.060645797284852e-05,0.04947500019625295,0.0015557299848485868,98.52296999961254,112.5069075994109,0.0,9.874494453599194,19688.493471602513
100,0.005530000998987816,9.567858023625809e-05,0.049480000234325416,0.003128099939354428,5028.290330000527,3749.387754580154,0.5,8.953355770688301,905274.7601486787
200,0.0066749997131410055,6.137474755803957e-05,0.05808500027342234,0.0012932661818690703,8018.969670000297,2987.945670784194,0.8,8.703649344261398,1202676.1919107663
500,0.009845000204222742,0.00023390842662795663,0.06569500037585385,0.001854221373991156,10000.274099999297,0.06317295040655087,1.0,6.679187087562949,1016797.9982838578
1000,0.015295000048354268,0.000840430044196688,0.08541500046703732,0.0033832949996950774,9007.38392999956,2245.998959789779,0.9,5.611522153588955,591016.2521781847
